name,pos,weight
balmer,3647.347794,0.0006945150999999
balmer,3647.291821,0.0006944870999999
balmer,3647.237885,0.0006944600999999
balmer,3647.185888,0.0006944340999999
balmer,3647.135739,0.000694409
balmer,3647.08735,0.0006943847999999
balmer,3647.040641,0.0006943614
balmer,3646.995535,0.0006943388
balmer,3646.951958,0.0006943169999999
balmer,3646.909843,0.0006942959
balmer,3646.869125,0.0006942755
balmer,3646.829742,0.0006942558
balmer,3646.791638,0.0006942368
balmer,3646.754757,0.0006942183
balmer,3646.719048,0.0006942003999999
balmer,3646.684461,0.0006941831
balmer,3646.65095,0.0006941664
balmer,3646.61847,0.0006941500999999
balmer,3646.58698,0.0006941343
balmer,3646.55644,0.0006941191
balmer,3646.526812,0.0006941042
balmer,3646.498061,0.0006940898
balmer,3646.470151,0.0006940759
balmer,3646.443051,0.0006940622999999
balmer,3646.416729,0.0006940491
balmer,3646.391155,0.0006940362999999
balmer,3646.366303,0.0006940238999999
balmer,3646.342144,0.0006940117999999
balmer,3646.318654,0.0006939999999999
balmer,3646.295807,0.0006939885999999
balmer,3646.273581,0.0006939774999999
balmer,3646.251954,0.0006939666999999
balmer,3646.230903,0.0006939560999999
balmer,3646.210409,0.0006939459
balmer,3646.190452,0.0006939359
balmer,3646.171013,0.0006939262
balmer,3646.152076,0.0006939166999999
balmer,3646.133622,0.0006939074
balmer,3646.115635,0.0006938984
balmer,3646.0981,0.0006938896999999
balmer,3646.081002,0.0006938810999999
balmer,3646.064326,0.0006938727999999
balmer,3646.048059,0.0006938645999999
balmer,3646.032187,0.0006938566999999
balmer,3646.016697,0.0006938489
balmer,3646.001578,0.0006938413999999
balmer,3645.986818,0.000693834
balmer,3645.972405,0.0006938267999999
balmer,3645.958328,0.0006938196999999
balmer,3645.944578,0.0006938127999999
balmer,3645.931144,0.0006938060999999
balmer,3645.918017,0.0006937995
balmer,3645.905186,0.0006937930999999
balmer,3645.892645,0.0006937869
balmer,3645.880383,0.0006937806999999
balmer,3645.868392,0.0006937747
balmer,3645.856666,0.0006937688
balmer,3645.845195,0.0006937631
balmer,3645.833972,0.0006937574999999
balmer,3645.822991,0.0006937519999999
balmer,3645.812245,0.0006937465999999
balmer,3645.801727,0.0006937414
balmer,3645.79143,0.0006937361999999
balmer,3645.781348,0.0006937312
balmer,3645.771476,0.0006937262
balmer,3645.761807,0.0006937214
balmer,3645.752336,0.0006937166
balmer,3645.743058,0.0006937119999999
balmer,3645.733968,0.0006937074
balmer,3645.72506,0.000693703
balmer,3645.716329,0.0006936985999999
balmer,3645.707772,0.0006936943
balmer,3645.699382,0.0006936900999999
balmer,3645.691157,0.000693686
balmer,3645.683092,0.000693682
balmer,3645.675182,0.0006936779999999
balmer,3645.667424,0.0006936740999999
balmer,3645.659814,0.0006936702999999
balmer,3645.652347,0.0006936666
balmer,3645.645021,0.0006936629
balmer,3645.637833,0.0006936593
balmer,3645.630777,0.0006936558
balmer,3645.623852,0.0006936523
balmer,3645.617054,0.0006936489
balmer,3645.610381,0.0006936455999999
balmer,3645.603828,0.0006936422999999
balmer,3645.597393,0.0006936391
balmer,3645.591073,0.0006936359
balmer,3645.584866,0.0006936327999999
balmer,3645.578769,0.0006936298
balmer,3645.572779,0.0006936267999999
balmer,3645.566894,0.0006936238
balmer,3645.561112,0.0006936209
balmer,3645.555429,0.0006936181
balmer,3645.549844,0.0006936152999999
balmer,3645.544354,0.0006936126
balmer,3645.538958,0.0006936098999999
balmer,3645.533653,0.0006936072
balmer,3645.528438,0.0006936046
balmer,3645.523309,0.0006936019999999
balmer,3645.518266,0.0006935994999999
balmer,3645.513306,0.000693597
balmer,3645.508427,0.0006935945999999
balmer,3645.503629,0.0006935922
balmer,3645.498908,0.0006935898
balmer,3645.494264,0.0006935875
balmer,3645.489694,0.0006935851999999
balmer,3645.485198,0.000693583
balmer,3645.480773,0.0006935806999999
balmer,3645.476418,0.0006935786
balmer,3645.472132,0.0006935764
balmer,3645.467913,0.0006935742999999
balmer,3645.46376,0.0006935722
balmer,3645.459671,0.0006935701999999
balmer,3645.455645,0.0006935682
balmer,3645.451681,0.0006935662
balmer,3645.447778,0.0006935641999999
balmer,3645.443934,0.0006935622999999
balmer,3645.440147,0.0006935603999999
balmer,3645.436418,0.0006935586
balmer,3645.432745,0.0006935567
balmer,3645.429126,0.0006935548999999
balmer,3645.425561,0.0006935531
balmer,3645.422049,0.0006935513999999
balmer,3645.418588,0.0006935496
balmer,3645.415178,0.0006935478999999
balmer,3645.411817,0.0006935462
balmer,3645.408505,0.0006935446
balmer,3645.40524,0.000693543
balmer,3645.402022,0.0006935412999999
balmer,3645.39885,0.0006935398
balmer,3645.395723,0.0006935382
